"Gene","Expression"
"ADAMTS16",30.3741
"ADAMTS17",76.8286
"ADAMTS18",5.8068
"ADAMTS19",19.6538
"ADAMTS1",400.2233
"ADAMTS20",4.4668
"ADAMTS2",75.0419
"ADAMTS3",82.1887
"ADAMTS4",515.9129
"ADAMTS5",74.1485
"ADAMTS6",51.368
"ADAMTS7",30.3741
"ADAMTS8",518.1463
"ADAMTS9",176.4377
"ADAMTSL1",39.3076
"ADAMTSL2",598.995
"ADAMTSL3",45.1145
"ADAMTSL4",22.7806
"ADAMTSL5",19.2071
"ADAP1",2421.4495
"ADAP2",85.7621
"ADARB1",1449.0229
"ADARB2",431.4908
"ADAR",7731.5466
"ADAT1",243.8861
"ADAT2",86.6555
"ADAT3",14.2937
"ADA",74.5952
"ADCK1",353.7688
"ADCK2",769.1792
"ADCK4",550.3071
"ADCK5",137.5768
"ADCY10",1.34
"ADCY1",9224.7906
"ADCY2",3995.0865
"ADCY3",1460.0246
"ADCY4",49.5812
"ADCY5",1114.4612
"ADCY6",1216.7504
"ADCY7",406.9235
"ADCY8",416.7504
"ADCY9",938.9168
"ADCYAP1R1",1934.115
"ADCYAP1",227.359
"ADC",710.2178
"ADD1",10725.6281
"ADD2",1706.3093
"ADD3",4618.6488
"ADH1A",0.4467
"ADH1B",42.8811
"ADH1C",0
"ADH4",0
"ADH5",1883.1937
"ADH6",0
"ADH7",0
"ADHFE1",520.3797
"ADI1",1138.5818
"ADIG",0
"ADIPOQ",1.7867
"ADIPOR1",1619.2071
"ADIPOR2",2965.4941
"ADK",274.2602
"ADM2",1.34
"ADM",89.7822
"ADNP2",580.2345
"ADNP",1968.5092
"ADORA1",2043.1044
"ADORA2A",71.9151
"ADORA2B",175.9911
"ADORA3",196.9849
"ADO",1137.2418
"ADPGK",488.8085
"ADPRHL1",242.9927
"ADPRHL2",454.718
"ADPRH",47.7945
"ADRA1A",50.0279
"ADRA1B",286.3205
"ADRA1D",60.7482
"ADRA2A",294.3607
"ADRA2B",8.0402
"ADRA2C",87.5489
"ADRB1",274.2602
"ADRB2",38.4143
"ADRB3",3.5734
"ADRBK1",3569.8492
"ADRBK2",2079.2853
"ADRM1",1315.4662
"ADSL",407.3702
"ADSSL1",118.8163
"ADSS",1131.8816
"AEBP1",504.2993
"AEBP2",427.024
"AEN",277.3869
"AES",11678.392
"AFAP1L1",83.0821
"AFAP1L2",827.694
"AFAP1",1296.2144
"AFARP1",4.0201
"AFF1",812.9537
"AFF2",531.0999
"AFF3",982.2446
"AFF4",2145.8403
"AFG3L1",176.4377
"AFG3L2",1640.5047
"AFMID",426.5773
"AFM",0
"AFP",3.1267
"AFTPH",1242.6577
"AG2",177.7778
"AGAP11",45.1145
"AGAP1",817.4204
"AGAP2",6746.8409
"AGAP3",5005.0251
"AGAP4",200.1117
"AGAP5",26.5952
"AGAP6",104.0759
"AGAP7",10.7203
"AGAP8",43.7744
"AGA",193.8582
"AGBL1",1.7867
"AGBL2",4.4668
"AGBL3",9.3802
