"Gene","Expression"
"ADAMTS16",2.6851
"ADAMTS17",77.4837
"ADAMTS18",0
"ADAMTS19",16.4941
"ADAMTS1",572.3053
"ADAMTS20",13.809
"ADAMTS2",63.2911
"ADAMTS3",14.9597
"ADAMTS4",1469.1216
"ADAMTS5",197.1615
"ADAMTS6",161.8719
"ADAMTS7",39.8926
"ADAMTS8",115.842
"ADAMTS9",536.2486
"ADAMTSL1",31.0702
"ADAMTSL2",760.6444
"ADAMTSL3",33.3717
"ADAMTSL4",44.8792
"ADAMTSL5",9.206
"ADAP1",1198.7725
"ADAP2",199.8466
"ADARB1",305.3318
"ADARB2",297.2766
"ADAR",5360.1841
"ADAT1",163.0226
"ADAT2",166.0913
"ADAT3",34.1389
"ADA",286.9198
"ADCK1",392.4051
"ADCK2",820.4833
"ADCK4",472.5738
"ADCK5",158.8032
"ADCY10",1.1507
"ADCY1",165.7077
"ADCY2",2192.1749
"ADCY3",747.5489
"ADCY4",99.7315
"ADCY5",717.2996
"ADCY6",1219.0257
"ADCY7",589.9501
"ADCY8",364.4035
"ADCY9",371.6916
"ADCYAP1R1",1614.1158
"ADCYAP1",2.3015
"ADC",577.6755
"ADD1",8575.374
"ADD2",910.6252
"ADD3",6215.1899
"ADH1A",0
"ADH1B",6.1373
"ADH1C",0.3836
"ADH4",0
"ADH5",2106.2524
"ADH6",0
"ADH7",0
"ADHFE1",766.7817
"ADI1",1186.8048
"ADIG",1.1507
"ADIPOQ",0.3836
"ADIPOR1",1407.7484
"ADIPOR2",4022.6314
"ADK",253.9317
"ADM2",0.7672
"ADM",17.2612
"ADNP2",822.7848
"ADNP",2218.2585
"ADORA1",1532.4127
"ADORA2A",127.3494
"ADORA2B",54.8523
"ADORA3",380.1304
"ADO",1673.9547
"ADPGK",504.3728
"ADPRHL1",18.0284
"ADPRHL2",432.6812
"ADPRH",94.3613
"ADRA1A",54.8523
"ADRA1B",74.415
"ADRA1D",3.0687
"ADRA2A",36.4404
"ADRA2B",15.7269
"ADRA2C",15.7269
"ADRB1",43.7284
"ADRB2",119.2942
"ADRB3",0
"ADRBK1",1466.0529
"ADRBK2",687.3801
"ADRM1",1215.5735
"ADSL",505.5619
"ADSSL1",172.6122
"ADSS",839.6624
"AEBP1",2881.473
"AEBP2",597.6218
"AEN",446.1066
"AES",5067.5105
"AFAP1L1",150.748
"AFAP1L2",2051.0165
"AFAP1",2488.6766
"AFARP1",1.9179
"AFF1",727.6563
"AFF2",415.42
"AFF3",433.0648
"AFF4",2677.407
"AFG3L1",407.3648
"AFG3L2",1080.0153
"AFMID",723.8205
"AFM",0
"AFP",0
"AFTPH",793.6325
"AG2",918.2969
"AGAP11",8.8224
"AGAP1",558.8799
"AGAP2",1612.9191
"AGAP3",2535.4814
"AGAP4",441.8872
"AGAP5",43.6824
"AGAP6",222.4779
"AGAP7",16.4941
"AGAP8",81.3195
"AGA",384.3498
"AGBL1",0
"AGBL2",10.7403
"AGBL3",6.1373
"AGBL4",4.2194
"AGBL5",456.0836
"AGER",204.8331
"AGFG1",2110.4718
"AGFG2",413.1185
"AGGF1",1064.4419
"AGK",558.4964
"AGL",369.7737
"AGMAT",10.3567
"AGPAT1",2713.8205
"AGPAT2",133.1032
"AGPAT3",2968.1626
"AGPAT4",2182.2018
"AGPAT5",2871.1162
"AGPAT6",1825.4699
"AGPAT9",0
"AGPHD1",10.3567
"AGPS",1175.6809
"AGR2",0
"AGR3",0.3836
"AGRN",4095.1285
"AGRP",0.7672
"AGTPBP1",956.6552
"AGTR1",3.0687
"AGTR2",0
"AGTRAP",237.0541
"AGT",12935.9417
"AGXT2L1",2626.3905
"AGXT2L2",290.3337
"AGXT2",0
"AGXT",0
"AHCTF1",851.1699
"AHCYL1",7462.9843
"AHCYL2",1727.6563
"AHCY",1998.4657
"AHDC1",854.2386
"AHI1",277.7138
"AHNAK2",37.5911
"AHNAK",5782.5086
"AHRR",15.7269
"AHR",376.6782
"AHSA1",1773.6862
"AHSA2",744.9175
"AHSG",11.8911
"AHSP",0
"AICDA",0
"AIDA",606.448
"AIF1L",4574.9904
"AIF1",403.1454
"AIFM1",431.9141
"AIFM2",151.1316
"AIFM3",177.5719
"AIG1",896.4327
"AIM1L",0
"AIM1",17.2612
"AIM2",13.4254
"AIMP1",1090.28
"AIMP2",506.2601
"AIPL1",0
"AIP",1164.9405
"AIRE",8.4388
"AJAP1",72.8807
"AK1",1056.7702
"AK2",746.4519
"AK3L1",64.4419
"AK3",1828.5386
"AK5",954.3537
"AK7",20.3299
"AKAP10",448.4081
"AKAP11",2764.8638
"AKAP12",409.2827
"AKAP13",1703.4906
"AKAP14",0.7672
"AKAP1",1452.6275
"AKAP2",205.0134
"AKAP3",141.1584
"AKAP4",0
"AKAP5",102.033
"AKAP6",3098.5807
"AKAP7",1207.9018
"AKAP8L",1298.8109
"AKAP8",640.9666
"AKAP9",1082.4703
"AKD1",145.7614
"AKIRIN1",1226.3138
"AKIRIN2",1138.8569
"AKNAD1",4.9866
"AKNA",756.0414
"AKR1A1",1210.9705
"AKR1B10",0.3836
"AKR1B15",0.3836
"AKR1B1",1973.9164
"AKR1C1",235.5198
"AKR1C2",54.0852
"AKR1C3",1077.1001
"AKR1C4",0
"AKR1CL1",0
"AKR1D1",0
"AKR1E2",3.0687
"AKR7A2",580.3606
"AKR7A3",11.8911
"AKR7L",25.3165
"AKT1S1",844.2654
"AKT1",2705.7921
"AKT2",1249.3287
"AKT3",1418.1051
"AKTIP",1241.1047
"ALAD",2605.2934
"ALAS1",731.8757
"ALAS2",0
"ALB",17.6448
"ALCAM",5753.7399
"ALDH16A1",331.0318
"ALDH18A1",1189.8734
"ALDH1A1",741.0817
"ALDH1A2",21.097
"ALDH1A3",9.2789
"ALDH1B1",477.5604
"ALDH1L1",1327.5796
"ALDH1L2",583.4292
"ALDH2",10315.3049
"ALDH3A1",3.0687
"ALDH3A2",1732.6429
"ALDH3B1",141.542
"ALDH3B2",0.3836
"ALDH4A1",759.4937
"ALDH5A1",3168.0092
"ALDH6A1",1478.178
"ALDH7A1",2240.8899
"ALDH8A1",30.303
"ALDH9A1",3261.2198
"ALDOA",13902.57
"ALDOB",15.7269
"ALDOC",30588.7994
"ALG10B",416.1872
"ALG10",49.0986
"ALG11",8.4388
"ALG12",259.6855
"ALG13",645.9532
"ALG14",121.2121
"ALG1L2",0
"ALG1L",40.6061
"ALG1",493.7783
"ALG2",503.2605
"ALG3",464.5186
"ALG5",532.0292
"ALG6",146.145
"ALG8",533.9471
"ALG9",645.9532
"ALKBH1",227.4645
"ALKBH2",439.5857
"ALKBH3",251.2466
"ALKBH4",427.5412
"ALKBH5",1820.725
"ALKBH6",71.73
"ALKBH7",699.2712
"ALKBH8",233.9854
"ALK",163.0226
"ALLC",0
"ALMS1P",13.0418
"ALMS1",499.8082
"ALOX12B",5.7537
"ALOX12P2",1.5343
"ALOX12",2.6851
"ALOX15B",0.3836
"ALOX15",0.7672
"ALOX5AP",148.0629
"ALOX5",93.5942
"ALOXE3",2.3015
"ALPI",0
"ALPK1",122.7465
"ALPK2",3.8358
"ALPK3",105.1016
"ALPL",740.3145
"ALPPL2",0
"ALPP",0
"ALS2CL",78.6344
"ALS2CR11",6.9045
"ALS2CR12",0.3836
"ALS2CR4",569.6203
"ALS2CR8",406.5976
"ALS2",894.8984
"ALX1",0
"ALX3",31.0702
"ALX4",0.3836
"AMAC1L2",0.3836
"AMAC1L3",0.7672
"AMAC1",0
"AMACR",329.4975
"AMBN",0
"AMBP",0
"AMBRA1",779.44
"AMD1",2410.9053
"AMDHD1",17.2612
"AMDHD2",231.097
"AMELX",0
"AMELY",0
"AMFR",2921.3656
"AMHR2",0
"AMH",246.6437
"AMICA1",1.9179
"AMIGO1",48.3314
"AMIGO2",26.0836
"AMIGO3",131.5689
"AMMECR1L",720.3682
"AMMECR1",120.0614
"AMN1",499.4246
"AMN",0.7672
"AMOTL1",1077.4837
"AMOTL2",4790.9474
"AMOT",1146.9122
"AMPD1",0
"AMPD2",934.4074
"AMPD3",424.626
"AMPH",358.2662
"AMTN",0
"AMT",218.9835
"AMY1A",1.1507
"AMY2A",3.0687
"AMY2B",229.9578
"AMZ1",338.3199
"AMZ2P1",282.3168
"AMZ2",1423.0917
"ANAPC10",107.4031
"ANAPC11",1016.4941
"ANAPC13",1505.0326
"ANAPC16",1070.1956
"ANAPC1",410.4334
"ANAPC2",1168.0092
"ANAPC4",535.865
"ANAPC5",3159.5704
"ANAPC7",1042.5777
"ANGEL1",1755.2743
"ANGEL2",949.7507
"ANGPT1",75.9494
"ANGPT2",173.7629
"ANGPT4",1.5343
"ANGPTL1",114.6912
"ANGPTL2",4810.1266
"ANGPTL3",0
"ANGPTL4",165.7077
"ANGPTL5",1.9179
"ANGPTL6",10.3797
"ANGPTL7",0.3836
"ANG",14.2271
"ANK1",291.9064
"ANK2",4074.7986
"ANK3",2040.6598
"ANKAR",30.6866
"ANKDD1A",137.7062
"ANKFN1",82.8539
"ANKFY1",4197.1615
"ANKHD1-EIF4EBP3",217.7829
"ANKHD1",1592.3168
"ANKH",1709.2443
"ANKIB1",2941.6954
"ANKK1",1.5343
"ANKLE1",29.9194
"ANKLE2",1287.3034
"ANKMY1",189.1063
"ANKMY2",602.9919
"ANKRA2",411.5842
"ANKRD10",1711.3771
"ANKRD11",2302.8078
"ANKRD12",1230.1496
"ANKRD13A",1196.7779
"ANKRD13B",1080.5524
"ANKRD13C",548.1396
"ANKRD13D",561.9486
"ANKRD16",227.0809
"ANKRD17",1818.949
"ANKRD19",39.8926
"ANKRD1",0.3836
"ANKRD20A3",36.8239
"ANKRD20A4",3.0687
"ANKRD20B",12.6582
"ANKRD22",5.3702
"ANKRD23",85.1554
"ANKRD24",286.9198
"ANKRD26P1",0.7672
"ANKRD26",344.8408
"ANKRD27",490.2186
"ANKRD28",1691.216
"ANKRD29",43.7284
"ANKRD2",5.3702
"ANKRD30A",0
"ANKRD30B",0.7672
"ANKRD31",0
"ANKRD32",98.9643
"ANKRD33",0
"ANKRD34A",42.5777
"ANKRD34B",0.3836
"ANKRD34C",0.7672
"ANKRD35",32.2209
"ANKRD36BP1",58.3046
"ANKRD36B",50.6329
"ANKRD36",304.9482
